Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF01348	Type II intron maturase	pfam	family	IPR024937		
PF01349	Flavivirus non-structural protein NS4B	pfam	family	IPR001528		
PF01350	Flavivirus non-structural protein NS4A	pfam	family	IPR000404		
PF01351	Ribonuclease HII	pfam	family	IPR024567		
PF01352	KRAB box	pfam	family	IPR001909		
PF01353	Green fluorescent protein	pfam	domain	IPR011584		
PF01355	High potential iron-sulfur protein	pfam	domain	IPR000170		
PF01356	Alpha amylase inhibitor	pfam	domain	IPR000833		
PF01357	Expansin C-terminal domain	pfam	domain	IPR007117		
PF01358	Poly A polymerase regulatory subunit	pfam	domain	IPR000176		
PF01359	Transposase (partial DDE domain)	pfam	family	IPR001888		
PF01361	Tautomerase enzyme	pfam	domain	IPR004370		
PF01363	FYVE zinc finger	pfam	domain	IPR000306		
PF01364	Peptidase family C25	pfam	domain	IPR001769		
PF01365	RIH domain	pfam	repeat	IPR000699		
PF01366	Herpesvirus processing and transport protein	pfam	family	IPR000501		
PF01367	5'-3' exonuclease, C-terminal SAM fold	pfam	domain	IPR020045		
PF01368	DHH family	pfam	family	IPR001667		
PF01369	Sec7 domain	pfam	domain	IPR000904		
PF01370	NAD dependent epimerase/dehydratase family	pfam	family	IPR001509		
PF01371	Trp repressor protein	pfam	domain	IPR000831		
PF01372	Melittin	pfam	family	IPR002116		
PF01373	Glycosyl hydrolase family 14	pfam	domain	IPR001554		
PF01374	Glycosyl hydrolase family 46	pfam	domain	IPR000400		
PF01375	Heat-labile enterotoxin alpha chain	pfam	domain	IPR001144		
PF01376	Heat-labile enterotoxin beta chain	pfam	domain	IPR001835		
PF01378	B domain	pfam	domain	IPR000724		
PF01379	Porphobilinogen deaminase, dipyromethane cofactor binding domain	pfam	domain	IPR022417		
PF01380	SIS domain	pfam	domain	IPR001347		
PF01381	Helix-turn-helix	pfam	domain	IPR001387		
PF01382	Avidin family	pfam	domain	IPR005468		
PF01383	CpcD/allophycocyanin linker domain	pfam	domain	IPR008213		
PF01384	Phosphate transporter family	pfam	family	IPR001204		
PF01385	Probable transposase	pfam	family	IPR001959		
PF01386	Ribosomal L25p family	pfam	domain	IPR029751		
PF01387	Synuclein	pfam	family	IPR001058		
PF01388	ARID/BRIGHT DNA binding domain	pfam	domain	IPR001606		
PF01389	OmpA-like transmembrane domain	pfam	domain	IPR000498		
PF01390	SEA domain	pfam	family	IPR000082		
PF01391	Collagen triple helix repeat (20 copies)	pfam	repeat	IPR008160		
PF01392	Fz domain	pfam	domain	IPR020067		
PF01393	Chromo shadow domain	pfam	domain	IPR008251		
PF01394	Clathrin propeller repeat	pfam	repeat	IPR022365		
PF01395	PBP/GOBP family	pfam	domain	IPR006170		
PF01396	Topoisomerase DNA binding C4 zinc finger	pfam	domain	IPR013498		
PF01397	Terpene synthase, N-terminal domain	pfam	repeat	IPR001906		
PF01398	JAB1/Mov34/MPN/PAD-1 ubiquitin protease	pfam	family	IPR000555		
PF01399	PCI domain	pfam	domain	IPR000717		
PF01400	Astacin (Peptidase family M12A)	pfam	domain	IPR001506		
PF01401	Angiotensin-converting enzyme	pfam	family	IPR001548		
PF01402	Ribbon-helix-helix protein, copG family	pfam	domain	IPR002145		
PF01403	Sema domain	pfam	repeat	IPR001627		
PF01404	Ephrin receptor ligand binding domain	pfam	domain	IPR001090		
PF01405	Photosystem II reaction centre T protein	pfam	family	IPR001743		
PF01406	tRNA synthetases class I (C) catalytic domain	pfam	family	IPR032678		
PF01407	Geminivirus AL3 protein	pfam	family	IPR000657		
PF01408	Oxidoreductase family, NAD-binding Rossmann fold	pfam	family	IPR000683		
PF01409	tRNA synthetases class II core domain (F)	pfam	domain	IPR002319		
PF01410	Fibrillar collagen C-terminal domain	pfam	family	IPR000885		
PF01411	tRNA synthetases class II (A)	pfam	family	IPR018164		
PF01412	Putative GTPase activating protein for Arf	pfam	domain	IPR001164		
PF01413	C-terminal tandem repeated domain in type 4 procollagen	pfam	domain	IPR001442		
PF01414	Delta serrate ligand	pfam	domain	IPR001774		
PF01415	Interleukin 7	pfam	domain	IPR001181		
PF01416	tRNA pseudouridine synthase	pfam	domain	IPR020097		
PF01417	ENTH domain	pfam	domain	IPR013809		
PF01418	Helix-turn-helix domain, rpiR family	pfam	domain	IPR000281		
PF01419	Jacalin-like lectin domain	pfam	repeat	IPR001229		
PF01420	Type I restriction modification DNA specificity domain	pfam	domain	IPR000055		
PF01421	Reprolysin (M12B) family zinc metalloprotease	pfam	domain	IPR001590		
PF01422	NF-X1 type zinc finger	pfam	family	IPR000967		
PF01423	LSM domain	pfam	domain	IPR001163		
PF01424	R3H domain	pfam	domain	IPR001374		
PF01425	Amidase	pfam	family	IPR023631		
PF01426	BAH domain	pfam	domain	IPR001025		
PF01427	D-ala-D-ala dipeptidase	pfam	family	IPR000755		
PF01428	AN1-like Zinc finger	pfam	family	IPR000058		
PF01429	Methyl-CpG binding domain	pfam	domain	IPR001739		
PF01430	Hsp33 protein	pfam	family	IPR000397		
PF01431	Peptidase family M13	pfam	family	IPR018497		
PF01432	Peptidase family M3	pfam	family	IPR001567		
PF01433	Peptidase family M1 domain	pfam	domain	IPR014782		
PF01434	Peptidase family M41	pfam	domain	IPR000642		
PF01435	Peptidase family M48	pfam	domain	IPR001915		
PF01436	NHL repeat	pfam	repeat	IPR001258		
PF01437	Plexin repeat	pfam	family	IPR002165		
PF01439	Metallothionein	pfam	family	IPR000347		
PF01440	Geminivirus AL2 protein	pfam	family	IPR000942		
PF01441	Lipoprotein	pfam	family	IPR001800		
PF01442	Apolipoprotein A1/A4/E domain	pfam	domain	IPR000074		
PF01443	Viral (Superfamily 1) RNA helicase	pfam	family	IPR027351		
PF01445	Viral small hydrophobic protein	pfam	family	IPR001477		
PF01446	Replication protein	pfam	family	IPR000989		
PF01447	Thermolysin metallopeptidase, catalytic domain	pfam	domain	IPR013856		
PF01448	ELM2 domain	pfam	family	IPR000949		
PF01450	Acetohydroxy acid isomeroreductase, catalytic domain	pfam	family	IPR000506		
PF01451	Low molecular weight phosphotyrosine protein phosphatase	pfam	domain	IPR023485		
PF01452	Rotavirus non structural protein	pfam	family	IPR002107		
PF01453	D-mannose binding lectin	pfam	repeat	IPR001480		
PF01454	MAGE homology domain	pfam	domain	IPR002190		
PF01455	HupF/HypC family	pfam	family	IPR001109		
PF01456	Mucin-like glycoprotein	pfam	family	IPR000458		
PF01457	Leishmanolysin	pfam	family	IPR001577		
PF01458	SUF system FeS cluster assembly, SufBD	pfam	family	IPR000825		
PF01459	Eukaryotic porin	pfam	family	IPR027246		
PF01462	Leucine rich repeat N-terminal domain	pfam	family	IPR000372		
PF01463	Leucine rich repeat C-terminal domain	pfam	family	IPR000483		
PF01464	Transglycosylase SLT domain	pfam	domain	IPR008258		
PF01465	GRIP domain	pfam	family	IPR000237		
PF01466	Skp1 family, dimerisation domain	pfam	domain	IPR016072		
PF01467	Cytidylyltransferase-like	pfam	domain	IPR004821		
PF01468	GA module	pfam	domain	IPR002988		
PF01469	Pentapeptide repeats (8 copies)	pfam	repeat	IPR002989		
PF01470	Pyroglutamyl peptidase	pfam	domain	IPR016125		
PF01471	Putative peptidoglycan binding domain	pfam	domain	IPR002477		
PF01472	PUA domain	pfam	family	IPR002478		
PF01473	Putative cell wall binding repeat	pfam	repeat	IPR018337		
PF01474	Class-II DAHP synthetase family	pfam	domain	IPR002480		
PF01475	Ferric uptake regulator family	pfam	family	IPR002481		
PF01476	LysM domain	pfam	domain	IPR018392		
PF01477	PLAT/LH2 domain	pfam	domain	IPR001024		
PF01478	Type IV leader peptidase family	pfam	family	IPR000045		
PF01479	S4 domain	pfam	domain	IPR002942		
PF01480	PWI domain	pfam	family	IPR002483		
PF01481	Arterivirus nucleocapsid protein	pfam	family	IPR002484		
PF01483	Proprotein convertase P-domain	pfam	family	IPR002884		
PF01484	Nematode cuticle collagen N-terminal domain	pfam	family	IPR002486		
PF01485	IBR domain, a half RING-finger domain	pfam	domain	IPR002867		
PF01486	K-box region	pfam	family	IPR002487		
PF01487	Type I 3-dehydroquinase	pfam	domain	IPR001381		
PF01488	Shikimate / quinate 5-dehydrogenase	pfam	family	IPR006151		
PF01490	Transmembrane amino acid transporter protein	pfam	family	IPR013057		
PF01491	Frataxin-like domain	pfam	domain	IPR002908		
PF01492	Geminivirus C4 protein	pfam	family	IPR002488		
PF01493	GXGXG motif	pfam	family	IPR002489		
PF01494	FAD binding domain	pfam	family	IPR002938		
PF01496	V-type ATPase 116kDa subunit family	pfam	family	IPR002490		
PF01497	Periplasmic binding protein	pfam	domain	IPR002491		
PF01498	Transposase	pfam	family	IPR002492		
PF01499	Herpesvirus UL25 family	pfam	family	IPR002493		
PF01500	Keratin, high sulfur B2 protein	pfam	family	IPR002494		
PF01501	Glycosyl transferase family 8	pfam	family	IPR002495		
PF01502	Phosphoribosyl-AMP cyclohydrolase	pfam	family	IPR002496		
PF01503	Phosphoribosyl-ATP pyrophosphohydrolase	pfam	family	IPR021130		
PF01504	Phosphatidylinositol-4-phosphate 5-Kinase	pfam	family	IPR002498		
PF01505	Major Vault Protein repeat domain	pfam	domain	IPR041139		
PF01506	Hepatitis C virus non-structural 5a protein membrane anchor	pfam	family	IPR002868		
PF01507	Phosphoadenosine phosphosulfate reductase family	pfam	family	IPR002500		
PF01508	Paramecium surface antigen domain	pfam	domain	IPR002895		
PF01509	TruB family pseudouridylate synthase (N terminal domain)	pfam	family	IPR002501		
PF01510	N-acetylmuramoyl-L-alanine amidase	pfam	domain	IPR002502		
PF01512	Respiratory-chain NADH dehydrogenase 51 Kd subunit	pfam	family	IPR011538		
PF01513	ATP-NAD kinase N-terminal domain	pfam	domain	IPR002504		
PF01514	Secretory protein of YscJ/FliF family	pfam	family	IPR006182		
PF01515	Phosphate acetyl/butaryl transferase	pfam	family	IPR002505		
PF01516	Orbivirus helicase VP6	pfam	family	IPR001399		
PF01517	Hepatitis delta virus delta antigen	pfam	family	IPR002506		
PF01518	Sigma NS protein	pfam	family	IPR002507		
PF01519	Protein of unknown function DUF16	pfam	unknown	IPR002862		
PF01520	N-acetylmuramoyl-L-alanine amidase	pfam	domain	IPR002508		
PF01521	Iron-sulphur cluster biosynthesis	pfam	family	IPR000361		
PF01522	Polysaccharide deacetylase	pfam	family	IPR002509		
PF01523	PmbA/TldA metallopeptidase domain 1	pfam	domain	IPR002510		
PF01524	Geminivirus V2 protein	pfam	family	IPR002511		
PF01525	Rotavirus NS26	pfam	family	IPR002512		
PF01526	Tn3 transposase DDE domain	pfam	domain	IPR002513		
PF01527	Transposase	pfam	family	IPR002514		
PF01528	Herpesvirus glycoprotein M	pfam	family	IPR000785		
PF01529	DHHC palmitoyltransferase	pfam	family	IPR001594		
PF01530	Zinc finger, C2HC type	pfam	family	IPR002515		
PF01531	Glycosyl transferase family 11	pfam	family	IPR002516		
PF01532	Glycosyl hydrolase family 47	pfam	repeat	IPR001382		
PF01533	Tospovirus nucleocapsid protein	pfam	family	IPR002517		
PF01534	Frizzled/Smoothened family membrane region	pfam	family	IPR000539		
PF01535	PPR repeat	pfam	repeat	IPR002885		
PF01536	Adenosylmethionine decarboxylase	pfam	family	IPR001985		
PF01537	Herpesvirus glycoprotein D/GG/GX domain	pfam	domain	IPR002896		
PF01538	Hepatitis C virus non-structural protein NS2	pfam	family	IPR002518		
PF01539	Hepatitis C virus envelope glycoprotein E1	pfam	family	IPR002519		
PF01540	Adhesin lipoprotein	pfam	family	IPR002520		
PF01541	GIY-YIG catalytic domain	pfam	domain	IPR000305		
PF01542	Hepatitis C virus core protein	pfam	family	IPR002521		
PF01543	Hepatitis C virus capsid protein	pfam	family	IPR002522		
PF01544	CorA-like Mg2+ transporter protein	pfam	family	IPR002523		
PF01545	Cation efflux family	pfam	family	IPR002524		
PF01546	Peptidase family M20/M25/M40	pfam	family	IPR002933		
PF01547	Bacterial extracellular solute-binding protein	pfam	family	IPR006059		
PF01548	Transposase	pfam	family	IPR002525		
PF01549	ShK domain-like	pfam	domain	IPR003582		
PF01551	Peptidase family M23	pfam	family	IPR016047		
PF01552	Picornavirus 2B protein	pfam	family	IPR002527		
PF01553	Acyltransferase	pfam	family	IPR002123		
PF01554	MatE	pfam	family	IPR002528		
PF01555	DNA methylase	pfam	family	IPR002941		
PF01556	DnaJ C terminal domain	pfam	domain	IPR002939		
PF01557	Fumarylacetoacetate (FAA) hydrolase family	pfam	family	IPR011234		
PF01558	Pyruvate ferredoxin/flavodoxin oxidoreductase	pfam	family	IPR019752		
PF01559	Zein seed storage protein	pfam	family	IPR002530		
PF01560	Hepatitis C virus non-structural protein E2/NS1	pfam	family	IPR002531		
PF01561	Hantavirus/Nairovirus glycoprotein G2	pfam	family	IPR002532		
PF01562	Reprolysin family propeptide	pfam	family	IPR002870		
PF01563	Alphavirus E3 glycoprotein	pfam	family	IPR002533		
PF01564	Spermine/spermidine synthase domain	pfam	domain			
PF01565	FAD binding domain	pfam	domain	IPR006094		
PF01566	Natural resistance-associated macrophage protein	pfam	family	IPR001046		
PF01567	Hantavirus glycoprotein G1	pfam	family	IPR002534		
PF01568	Molydopterin dinucleotide binding domain	pfam	domain	IPR006657		
PF01569	PAP2 superfamily	pfam	family	IPR000326		
PF01570	Flavivirus polyprotein propeptide	pfam	family	IPR002535		
PF01571	Aminomethyltransferase folate-binding domain	pfam	domain	IPR006222		
PF01573	Bromovirus movement protein	pfam	family	IPR002538		
PF01575	MaoC like domain	pfam	domain	IPR002539		
PF01576	Myosin tail	pfam	unknown	IPR002928		
PF01577	Potyvirus P1 protease	pfam	family	IPR002540		
PF01578	Cytochrome C assembly protein	pfam	family	IPR002541		
PF01579	Domain of unknown function (DUF19)	pfam	domain	IPR002542		
PF01580	FtsK/SpoIIIE family	pfam	domain	IPR002543		
PF01581	FMRFamide related peptide family	pfam	family	IPR002544		
PF01582	TIR domain	pfam	family	IPR000157		
PF01583	Adenylylsulphate kinase	pfam	domain			
PF01584	CheW-like domain	pfam	domain	IPR002545		
PF01585	G-patch domain	pfam	family	IPR000467		
PF01586	Myogenic Basic domain	pfam	family	IPR002546		
PF01588	Putative tRNA binding domain	pfam	domain	IPR002547		
PF01589	Alphavirus E1 glycoprotein	pfam	family	IPR002548		
PF01590	GAF domain	pfam	domain	IPR003018		
PF01591	6-phosphofructo-2-kinase	pfam	domain	IPR013079		
PF01592	NifU-like N terminal domain	pfam	family	IPR002871		
PF01593	Flavin containing amine oxidoreductase	pfam	domain	IPR002937		
PF01594	AI-2E family transporter	pfam	family	IPR002549		
PF01595	Cyclin M transmembrane N-terminal domain	pfam	domain	IPR002550		
PF01596	O-methyltransferase	pfam	domain	IPR002935		
PF01597	Glycine cleavage H-protein	pfam	domain	IPR033753		
PF01599	Ribosomal protein S27a	pfam	domain	IPR002906		
PF01600	Coronavirus spike glycoprotein S1	pfam	family	IPR002551		
PF01601	Coronavirus spike glycoprotein S2	pfam	family	IPR002552		
PF01602	Adaptin N terminal region	pfam	repeat	IPR002553		
PF01603	Protein phosphatase 2A regulatory B subunit (B56 family)	pfam	repeat	IPR002554		
PF01606	Arterivirus envelope protein	pfam	family	IPR002556		
PF01607	Chitin binding Peritrophin-A domain	pfam	domain	IPR002557		
PF01608	I/LWEQ domain	pfam	family	IPR002558		
PF01609	Transposase DDE domain	pfam	domain	IPR002559		
PF01610	Transposase	pfam	family	IPR002560		
PF01611	Filovirus glycoprotein	pfam	family	IPR002561		
PF01612	3'-5' exonuclease	pfam	domain	IPR002562		
PF01613	Flavin reductase like domain	pfam	domain	IPR002563		
PF01614	Bacterial transcriptional regulator	pfam	family	IPR014757		
PF01616	Orbivirus NS3	pfam	family	IPR002565		
PF01617	Surface antigen	pfam	family	IPR002566		
PF01618	MotA/TolQ/ExbB proton channel family	pfam	family	IPR002898		
PF01619	Proline dehydrogenase	pfam	family	IPR002872		
PF01620	Ribonuclease (pollen allergen)	pfam	family	IPR002914		
PF01621	Cell fusion glycoprotein K	pfam	family	IPR002567		
PF01623	Carlavirus putative nucleic acid binding protein	pfam	family	IPR002568		
PF01624	MutS domain I	pfam	domain	IPR007695		
PF01625	Peptide methionine sulfoxide reductase	pfam	family	IPR002569		
PF01627	Hpt domain	pfam	family	IPR008207		
PF01628	HrcA protein C terminal domain	pfam	family	IPR021153		
PF01629	Domain of unknown function DUF22	pfam	family	IPR002572		
PF01630	Hyaluronidase	pfam	domain	IPR018155		
PF01632	Ribosomal protein L35	pfam	family	IPR021137		
PF01633	Choline/ethanolamine kinase	pfam	family			
PF01634	ATP phosphoribosyltransferase	pfam	family	IPR013820		
PF01635	Coronavirus M matrix/glycoprotein	pfam	family	IPR002574		
PF01636	Phosphotransferase enzyme family	pfam	family	IPR002575		
PF01637	ATPase domain predominantly from Archaea	pfam	domain	IPR011579		
PF01638	HxlR-like helix-turn-helix	pfam	domain	IPR002577		
PF01639	Viral family 110	pfam	family	IPR004848		
PF01640	Peptidase C10 family	pfam	domain	IPR000200		
PF01641	SelR domain	pfam	family	IPR002579		
PF01642	Methylmalonyl-CoA mutase	pfam	family	IPR006099		
PF01643	Acyl-ACP thioesterase	pfam	family	IPR002864		
PF01644	Chitin synthase	pfam	family	IPR004834		
PF01645	Conserved region in glutamate synthase	pfam	domain	IPR002932		
PF01646	Herpes virus proteins UL24 and UL76	pfam	family	IPR002580		
PF01648	4'-phosphopantetheinyl transferase superfamily	pfam	domain	IPR008278		
PF01649	Ribosomal protein S20	pfam	family	IPR002583		
PF01650	Peptidase C13 family	pfam	family	IPR001096		
PF01652	Eukaryotic initiation factor 4E	pfam	domain	IPR001040		
PF01653	NAD-dependent DNA ligase adenylation domain	pfam	domain	IPR013839		
PF01654	Cytochrome bd terminal oxidase subunit I	pfam	family	IPR002585		
PF01655	Ribosomal protein L32	pfam	family	IPR001515		
PF01656	CobQ/CobB/MinD/ParA nucleotide binding domain	pfam	domain	IPR002586		
PF01657	Salt stress response/antifungal	pfam	family	IPR002902		
PF01658	Myo-inositol-1-phosphate synthase	pfam	family	IPR013021		
PF01659	Luteovirus putative VPg genome linked protein	pfam	family	IPR001964		
PF01660	Viral methyltransferase	pfam	family	IPR002588		
PF01661	Macro domain	pfam	domain	IPR002589		
PF01663	Type I phosphodiesterase / nucleotide pyrophosphatase	pfam	family	IPR002591		
PF01664	Reovirus viral attachment protein sigma 1	pfam	family	IPR002592		
PF01665	Rotavirus non-structural protein NSP3	pfam	family	IPR002873		
PF01666	DX module	pfam	family	IPR002593		
PF01667	Ribosomal protein S27	pfam	family	IPR000592		
PF01668	SmpB protein	pfam	family	IPR000037		
PF01669	Myelin basic protein	pfam	family	IPR000548		
PF01670	Glycosyl hydrolase family 12	pfam	domain	IPR002594		
PF01671	African swine fever virus multigene family 360 protein	pfam	family	IPR002595		
PF01672	Putative plasmid partition protein	pfam	family	IPR002596		
PF01673	Herpesvirus putative major envelope glycoprotein	pfam	family	IPR002597		
PF01674	Lipase (class 2)	pfam	domain	IPR002918		
PF01676	Metalloenzyme superfamily	pfam	family	IPR006124		
PF01677	Herpesvirus UL7 like	pfam	family	IPR002600		
PF01678	Diaminopimelate epimerase	pfam	domain	IPR001653		
PF01679	Proteolipid membrane potential modulator	pfam	family	IPR000612		
PF01680	SOR/SNZ family	pfam	domain	IPR033755		
PF01681	C6 domain	pfam	family	IPR002601		
PF01682	DB module	pfam	family	IPR002602		
PF01683	EB module	pfam	family	IPR006149		
PF01684	ET module	pfam	family	IPR002603		
PF01686	Adenovirus penton base protein	pfam	family	IPR002605		
PF01687	Riboflavin kinase	pfam	domain	IPR015865		
PF01688	Alphaherpesvirus glycoprotein I	pfam	domain	IPR002874		
PF01690	Potato leaf roll virus readthrough protein	pfam	family	IPR002929		
PF01691	Adenovirus E1B 19K protein / small t-antigen	pfam	family	IPR002924		
PF01692	Paramyxovirus non-structural protein C	pfam	family	IPR002608		
PF01693	Caulimovirus viroplasmin	pfam	family	IPR011320		
PF01694	Rhomboid family	pfam	family	IPR022764		
